;9;12;15;17;18;20;23;25;28;30;29;33;35;36;37;39;40;41;42;43;44;46;47;51;54;55;56;61;64;65;66;69;71;73;74;75;77;79;82;83;87;88;89;90;91;92;96;97;99;101;102;103;105;106;107;110;111;112;113;116;117;118;120;121;122;124;125;126;129;130;131;133;134;136;137;138;140;141;144;145;146;149;150;151;154;155;156;159;160;161;164;165;166;168;169;170;171;172;174;175;179;180;181;188;189;190;192;194;196;197;198;201;202;205;206;209;210;214;215;218;219;220;222;225;227;230;231;234;235;236;239;240;243;244;245;248;249;250;252;253;257;258;259;261;262;266;267;268;269;270;272;273;275;276;282;285;289;288;292;294;295;299;300;303;307;308;311;310;312;313;
D'ARRANDO Celeste;0;0;0;0;0;0;0;0;1.67;0;0;0;0;0;2.08;0;1.75;0;0;0;0;0;0;0;2;6.67;0;0;0;0;0;0;27.78;18.29;0;2.11;0;0;10;0;1.41;0;1.49;0;0;3.57;0;0;0;0;0;0;0;0.96;0;N.D.;N.D.;0;10.53;6.25;5.56;0;0;4.44;0;4;5.26;0;8.51;2.25;11.11;0;0;11.9;0;0;100;54.55;0;0;4;0;0;8.33;1.27;0;0;7.41;92.31;0;26.76;23.08;0;1.45;0;10.71;0;9.09;0;1.5;0;0;93.15;50;0;0;0;5.88;0;6.98;0;25;0;0;14.58;0;0;0;100;0;0;3.33;0;0;1.56;0;0;0;0;0;0;0;1.67;0;5.88;0;0;0;0;0;0;0;0;2.63;0;10.45;4.63;0;0.83;0;0;1.64;0;0;0;0;0;0;22.22;0;0;25;0;0;0;0;0;0;0;0.81
TRAVERSI Roberto;0;0;0;0;0;0;0;0;0;0;1.89;0;0;7.06;3.13;0;15.79;0;0;0;0.79;0;0;0;0;0;0;4.26;0;2.06;50;2.94;0;2.44;0;0;42.22;0;2.5;0;0;3.7;1.49;0;0;3.57;0;0;0;2.38;0;0;0;0;0;N.D.;N.D.;0;47.37;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;7.41;0;2.53;0;0;0;1.54;0;0;0;0;2.9;0;7.14;4.55;13.64;3.13;18.05;0;0;67.12;50;0;5.19;0;0;22.22;12.79;0;5;0;0;0;3.23;0;0;7.41;0;0;21.67;0;92.31;0;0;0;83.33;0;0;0;0;0;0;0;2.78;0;0;0;0;0;0;0;97.37;0;0;0;0;0;0;0;0;0;52.63;97.67;57.14;0;0;0;0;0;0;0;0;0;13.95;0;0;0;0
RIZZONE Marco;0;0;0;0;0;0;0;0;3.33;0;0;0;0;0;1.04;0;0;0;0;0;0;0;0;0;0;0;0;2.13;0;0;0;0;0;100;100;100;0;0;1.25;0;0;0;1.49;0;0;0;0;0;0;0;0;0;0;0;0;N.D.;N.D.;0;0;0;0;0;0;2.22;0;2;5.26;0;0;1.12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.08;0;0;0;50;0;0;7.14;0;4.55;0;0;0;0;0;0;0;5.19;0;5.88;5.56;0;0;0;0;0;0;0;6.67;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;11.76;0;0;0;0;0;0;0;0;0;0;7.46;0;0;0;0;0;0;0;0;4.65;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0
CATALDI Roberto;0;0;0;0;0;0;0;0;28.33;7.14;11.32;0;3.95;10.59;11.46;18.18;3.51;0;5.88;0;4.72;0;0;0;6;20;33.33;23.4;0;16.49;0;2.94;18.52;3.66;20.83;18.95;15.56;100;6.25;0;11.27;0;14.93;0;0;5.36;11.11;19.05;10.39;9.52;9.09;57.14;0;17.31;5.56;N.D.;N.D.;16.67;5.26;12.5;22.22;0;0;6.67;0;12;10.53;0;10.64;4.49;7.41;5.77;0;19.05;8;11.11;10.77;0;0;0;14;0;3.7;0;6.33;0;0;12.96;16.92;0;12.68;12.31;0;2.9;0;7.14;9.09;13.64;6.25;12.03;23.08;10;6.85;0;0;10.39;20;0;0;3.49;0;5;0;0;14.58;0;0;0;20.37;2.17;33.33;15;0;26.92;31.25;0;0;0;0;0;0;80;0;8.89;0;5.56;0;22.73;46.67;34.09;0;13.21;0;97.37;0;22.39;4.63;17.07;3.33;0;0;9.84;4.76;0;39.53;0;0;0;0;22.58;10.34;0;0;0;0;11.63;0;0;0;2.44
EMILIOZZI Mirella;83.33;0;0;0;0;0;0;6.25;1.67;1.79;1.89;0;0;2.35;4.17;0;0;0;0;0;1.57;0;0;0;2;5;8.33;0;0;0;0;0;1.85;2.44;2.08;2.11;0;0;0;0;0;0;0;100;0;1.79;11.11;2.38;2.6;0;0;0;100;100;100;N.D.;N.D.;0;0;0;0;0;100;2.22;0;0;5.26;0;72.34;100;100;1.92;2.04;0;8;0;15.38;9.09;0;0;2;0;0;0;1.27;7.14;2.13;5.56;4.62;0;0;0;0;100;100;0;9.09;0;0;4.51;0;5;2.74;0;0;1.3;0;100;0;2.33;4.55;0;0;0;0;6.45;0;0;9.26;0;0;0;0;11.54;1.56;0;0;0;0;0;0;0;100;100;100;0;0;4.55;0;4.55;100;100;100;2.63;0;0;7.41;0;100;0;0;0;0;0;0;0;0;0;5.56;0;24.14;0;0;100;0;0;0;0;5.26;4.07
TERZONI Patrizia;16.67;0;0;100;0;0;0;6.25;25;3.57;3.77;100;3.95;11.76;11.46;0;0;0;0;0;7.09;0;0;100;18;31.67;0;8.51;3.03;7.22;0;52.94;9.26;21.95;10.42;4.21;100;0;12.5;0;9.86;5.56;0;0;0;3.57;0;14.29;100;4.76;9.09;7.14;0;5.77;5.56;N.D.;N.D.;0;5.26;6.25;22.22;0;0;2.22;0;34;15.79;0;10.64;11.24;40.74;3.85;2.04;4.76;20;66.67;15.38;0;0;0;6;100;100;100;16.46;7.14;100;7.41;12.31;0;8.45;55.38;100;24.64;0;3.57;9.09;9.09;21.88;32.33;7.69;30;20.55;0;0;20.78;0;0;100;100;100;25;0;14.29;10.42;3.23;0;0;18.52;13.04;8.33;36.67;0;0;7.81;9.38;0;0;20;0;25;0;15;13.33;17.65;5.56;0;13.64;100;4.55;0;7.55;0;81.58;4.17;19.4;25.93;7.32;15;0;0;100;4.76;15.79;16.28;100;100;100;11.11;9.68;10.34;25;9.38;0;0;13.95;0;0;5.26;8.13
CATTOI Maurizio;0;0;0;0;0;0;0;0;0;1.79;5.66;0;1.32;1.18;12.5;9.09;3.51;0;0;0;0.79;0;0;42.86;6;21.67;0;0;0;7.22;0;2.94;5.56;1.22;4.17;0;0;0;0;0;11.27;0;1.49;0;0;0;0;0;1.3;0;0;0;0;8.65;0;N.D.;N.D.;0;21.05;0;0;0;0;0;0;24;15.79;0;0;1.12;14.81;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;0;0;0;0;0;0;2.33;4.55;0;0;0;0;0;0;0;5.56;0;0;1.67;0;100;3.13;0;0;0;0;0;0;0;0;0;11.76;2.78;0;4.55;0;0;0;0;0;26.32;0;0;0.93;2.44;0.83;0;0;0;2.38;0;9.3;0;0;0;22.22;0;17.24;0;9.38;0;0;0;0;0;0;3.25
CECCONI Andrea;0;0;100;0;0;0;100;100;100;100;100;100;100;100;100;100;100;100;5.88;0;99.21;0;16.67;100;100;100;100;100;6.06;0;0;2.94;38.89;0;6.25;63.16;13.33;0;6.25;0;2.82;12.96;4.48;100;100;14.29;100;100;12.99;9.52;9.09;0;100;100;5.56;N.D.;N.D.;5.56;31.58;18.75;5.56;0;0;2.22;0;4;21.05;0;31.91;31.46;9.26;7.69;0;9.52;8;0;3.08;0;0;0;4;0;7.41;25;8.86;0;17.02;12.96;1.54;4.35;12.68;7.69;50;23.19;0;3.57;9.09;13.64;3.13;1.5;0;25;65.75;0;0;23.38;0;100;0;13.95;4.55;5;0;0;8.33;3.23;6.67;0;27.78;0;0;10;0;0;3.13;100;100;0;0;0;0;0;26.67;26.67;0;0;0;9.09;6.67;13.64;0;13.21;0;2.63;0;13.43;13.89;9.76;4.17;0;100;100;21.43;0;16.28;0;0;0;16.67;3.23;20.69;0;3.13;0;0;30.23;0;0;5.26;61.79
DEL RE Emanuela Claudia;0;0;0;0;0;0;0;0;0;0;0;0;43.42;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.85;14.18;0;0;0;100;100;0;0;0;64.29;27.78;61.54;0;N.D.;N.D.;0;0;0;0;0;0;97.78;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;97.37;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16.13;0;0;0;0;0;2.33;0;0;0;0
BELLA Marco;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;N.D.;N.D.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
