;8;9;12;15;16;17;19;24;23;25;26;27;28;29;31;33;32;34;37;38;39;40;43;45;46;47;48;51;54;55;58;59;60;63;64;65;66;67;68;70;71;72;76;77;78;82;84;85;87;89;90;91;94;95;97;98;99;100;101;102;103;104;105;106;108;109;110;111;112;113;115;118;119;121;123;126;127;130;132;134;135;136;137;138;139;140;141;142;143;144;148;150;151;152;153;154;156;158;160;161;163;164;166;167;168;172;175;176;177;178;179;184;185;186;187;188;190;193;194;195;196;
BOSSI Umberto;31.25;0;0;0;0;0;0;0;0;100;0;69.23;0;0;0;100;0;0;0;0;40;0;0;0;0;0;0;0;0;0;3.57;0;0;0.84;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PITTELLA Giovanni Saverio Furio;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;37.5;0;0;0;0;11.54;0;0;0;0;0;2.51;14.29;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;1.71;0;15.15;81.48;0;0;50;0;0;50;0;10.64;7.69;0;0;12.82;100;0;0;7.42;0;0;0;0;0;0;0;0;0;0;0;0;3.15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SALVINI Matteo;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;100;0;0;100;2.2;0;100;0;0;0;0;50;100;0;0;0;11.11;0;0;0;0;0;0;0;14.29
BELLANOVA Teresa;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.37;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.42;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;3.45;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BONGIORNO Giulia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;96.55;0;0;0;0;0;0;0;0;0;100;0;0;0;0
BONINO Emma;0;0;0;0;0;0;0;66.67;0;0;20;92.31;0;0;2.3;16.85;0;0;0;0.88;0;0;12.5;0;0;42.86;34.86;26.92;100;0;33.12;0;94.44;100;100;100;100;0;59.42;100;0;0;100;100;80;0;100;1;0;86.36;0;0;50.78;0;6.06;0;0;0;0;100;98.44;0;6.25;97.87;7.69;20.75;0;12.82;0;0;0;38.67;10;3.85;33.86;0;0;0;0;0;100;0;0;100;0;100;79.22;0;10.24;20;0;0;0;0;0;25;0;0;0;100;1.1;97.06;100;0;7.89;0;100;50;100;0;0;0;100;100;53.85;94.74;0;0;0;0;0
BRESSA Gianclaudio;100;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0.42;0;0;0;0;0;0;0;0;0;66.67;0;100;0;0.33;0;0;0;0;0;0;0;0;0;0;0;0;98.44;0;100;0;0;100;100;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;9.09;0;0;0
CASINI Pier Ferdinando;75;0;0;65.83;83.33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;60;0;100;0;0;0;0;47.44;100;11.11;5.84;0;16.67;0.84;0;0;0;0;0;0;0;100;100;66.67;0;0;0;0;0;0;0;100;2.65;0;0;0;0;0;0;0;0;0;0;8.51;0;0;0;0;0;0;100;0;0;1.92;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.1;0;0;0;0;0;0;0;0;0;0;0;11.11;0;0;5.26;0;0;0;0;0
CESARO Luigi;0;0;0;0;0;0;0;0;0;0;0;0;100;100;0;0;0;0;0;0.88;0;0;0;0;0;0;0;5.13;100;0;0.97;0;100;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0.78;0;0;0;0;0;0;0;0;0;0;4.26;0;0;100;0;100;100;0;0;0;1.92;0;0;0;0;0;0.76;100;0;0;0;0;0;0;0;0;0;0;15.79;0;0;0;0;100;0;0;66.67;1.1;0;0;0;0;0;3.45;50;0;0;0;0;11.11;100;0;100;0;0;0;0;0
CRAXI Stefania Gabriella Anastasia;18.75;0;0;0;0;0;0;100;0;0;0;0;0;0;100;100;100;0;100;100;0;0;0;0;0;100;99.08;39.74;100;0;100;100;0;0;13.14;100;0;0;0;0;0;0;100;0;0;0;0;0;0;86.36;100;0;100;100;0;100;0;0;0;0;0;0;0;0;100;100;0;100;0;0;0;0;0;0;0;0;100;0;0;0;100;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;100;100;1.1;100;0;0;100;0;6.9;0;100;100;0;0;0;100;0;0;0;0;0;0;0
